pdf_name,polarity
COMBINED-Q4-17-Shareholder-Letter-FINAL,0.75
FINAL_Q2_15_Letter_to_Shareholders_With_Tables_,Positive
FINAL_Q3_15_Letter_to_Shareholders_With_Tables_,0.4667
FINAL_Q3_Letter,0.4
FINAL-Q1-18-Shareholder-Letter,0.5
FINAL-Q1-19-Shareholder-Letter,0.14
FINAL-Q1-20-Shareholder-Letter,0.173
FINAL-Q1-21-Shareholder-Letter,0.4857
FINAL-Q1-22-Shareholder-Letter,0.2
Final-Q1-23-Shareholder-Letter,Slightly positive
FINAL-Q2-18-Shareholder-Letter,Positive
FINAL-Q2-20-Shareholder-Letter-V3-with-Tables,Positive
FINAL-Q2-21-Shareholder-Letter,Positive
FINAL-Q2-22-Shareholder-Letter,0.15
FINAL-Q2-23-Shareholder-Letter,Positive
FINAL-Q3-18-Shareholder-Letter,Positive
FINAL-Q3-19-Shareholder-Letter,0.7
FINAL-Q3-20-Shareholder-Letter,0.5
FINAL-Q3-21-Shareholder-Letter,0.4
FINAL-Q3-22-Shareholder-Letter,0.25
FINAL-Q4-18-Shareholder-Letter,0.25
FINAL-Q4-19-Shareholder-Letter,0.25
FINAL-Q420-Shareholder-Letter,Slightly positive
FINAL-Q4-21-Shareholder-Letter,0.282
FINAL-Q4-22-Shareholder-Letter,0.25
Investor_Letter_Q12013,0.15
Investor-Letter-Q1-2012,Positive
Investor-Letter-Q2-2012-07,0.25
Investor-Letter-Q3-2012-10,0.33
Investor-Letter-Q4-2011,0.14
Investor-Letter-Q42012-01,0.32
July2014EarningsLetter_7,0.2
July-Investor-Letter-1130am,0.25
Q1_15_Earnings_Letter_final_tables,0
Q1-11-Letter-to-shareholders,0.4
Q114-Earnings-Letter-4,0
Q116LettertoShareholders_W_TABLES_,Positive
Q117ShareholderLetterV2FINAL,0.625
Q2_17_Shareholder_Letter,Positive
Q213-Investor-Letter,0.5
Q216LettertoShareholders_FINAL_w_Tables,Positive
Q2-19-Shareholder-Letter-FINAL,0.3
Q2-19-Shareholder-Letter-FINAL,0.25
Q3_14_Letter_to_shareholders,0.5
Q3_17_Shareholder_Letter_COMBINED,0.25
Q313-Earnings-Letter-10,Positive
Q4_14_Letter_to_shareholders,Positive
Q4_15_Letter_to_Shareholders_-_COMBINED,0.2
Q4-13-Letter-to-shareholders,0.25
Q416ShareholderLetter,Positive
